Institution Name,DOI Count,Data Source
Harvard University,110,Harvard DataVerse
London School of Economics and Political Science,57,Harvard DataVerse
Stanford University,51,Harvard DataVerse
Massachusetts Institute of Technology,47,Harvard DataVerse
Washington University in St. Louis,41,Harvard DataVerse
World Agroforestry Centre (ICRAF),37,Harvard DataVerse
Northwestern University,32,Harvard DataVerse
Vanderbilt University,32,Harvard DataVerse
Yale University,32,Harvard DataVerse
"CGA, Harvard Univ",31,Harvard DataVerse
Bioversity International,29,Harvard DataVerse
University of Pennsylvania,25,Harvard DataVerse
Africa Rice Center,24,Harvard DataVerse
Georgetown University,24,Harvard DataVerse
PI ,24,Harvard DataVerse
University of Montreal,24,Harvard DataVerse
Columbia University,23,Harvard DataVerse
Duke University,22,Harvard DataVerse
George Washington University,22,Harvard DataVerse
International Center for Tropical Agriculture - CIAT,22,Harvard DataVerse
Princeton University,22,Harvard DataVerse
"University of California, Berkeley",22,Harvard DataVerse
Harvard School of Public Health. Department of Maternal and Child Health,21,Harvard DataVerse
New York University,21,Harvard DataVerse
University of Chicago,21,Harvard DataVerse
University of Western Ontario,20,Harvard DataVerse
University of Michigan,19,Harvard DataVerse
Harvard T.H. Chan School of Public Health.,18,Harvard DataVerse
University of East Anglia,18,Harvard DataVerse
London School of Economics,17,Harvard DataVerse
Menlo College,17,Harvard DataVerse
University of Essex,17,Harvard DataVerse
University of Texas at Austin,17,Harvard DataVerse
UCLA,16,Harvard DataVerse
University of Amsterdam,16,Harvard DataVerse
University of Oxford,16,Harvard DataVerse
American University,15,Harvard DataVerse
Dartmouth College,15,Harvard DataVerse
University of Illinois at Chicago,15,Harvard DataVerse
University of Mannheim,15,Harvard DataVerse
University of Toronto,15,Harvard DataVerse
Arizona State University,14,Harvard DataVerse
Louisiana State University,14,Harvard DataVerse
Ohio State University,14,Harvard DataVerse
University of Georgia,14,Harvard DataVerse
Sun Yat-sen University,13,Harvard DataVerse
University of Houston,13,Harvard DataVerse
"Climate Change Institute, University of Maine",12,Harvard DataVerse
"University of California, Davis",12,Harvard DataVerse
"University of California, San Diego",12,Harvard DataVerse
University of Virginia,12,Harvard DataVerse
New York Law School,11,Harvard DataVerse
University of Konstanz,11,Harvard DataVerse
University of Washington,11,Harvard DataVerse
University of Zurich,11,Harvard DataVerse
Aarhus University,10,Harvard DataVerse
Boston University,10,Harvard DataVerse
Cornell University,10,Harvard DataVerse
GSU,10,Harvard DataVerse
Indiana University,10,Harvard DataVerse
Kings College London,10,Harvard DataVerse
McGill University,10,Harvard DataVerse
Michigan State University,10,Harvard DataVerse
Stony Brook University,10,Harvard DataVerse
Texas A&M University,10,Harvard DataVerse
University College London,10,Harvard DataVerse
University of Maryland,9,Harvard DataVerse
Hamilton College,9,Harvard DataVerse
Harvard T.H. Chan School of Public Health. Department of Social and Behavioral Sciences.,9,Harvard DataVerse
Kansas State University,9,Harvard DataVerse
Texas Tech University,9,Harvard DataVerse
University of Leicester,9,Harvard DataVerse
University of Minnesota,9,Harvard DataVerse
University of Southampton,9,Harvard DataVerse
International Rice Research Institute,8,Harvard DataVerse
Northeastern University / Harvard University,8,Harvard DataVerse
Rice University,8,Harvard DataVerse
Russian Academy of Sciences,8,Harvard DataVerse
Salisbury University,8,Harvard DataVerse
University of Canterbury,8,Harvard DataVerse
University of Iowa,8,Harvard DataVerse
University of Pittsburgh,8,Harvard DataVerse
University of Rochester,8,Harvard DataVerse
University of Southern California,8,Harvard DataVerse
Brown University,7,Harvard DataVerse
European University Institute,7,Harvard DataVerse
Harvard-Smithsonian Center for Astrophysics,7,Harvard DataVerse
Innovations for Poverty Action,7,Harvard DataVerse
KU Leuven ,7,Harvard DataVerse
"Martin School of Public Policy & Administration, University of Kentucky",7,Harvard DataVerse
PUC Chile,7,Harvard DataVerse
University of Arizona,7,Harvard DataVerse
University of Bamberg,7,Harvard DataVerse
University of Birmingham,7,Harvard DataVerse
