Institution Name,DOI Count,Data Source
Figshare,60517,OpenAire
Zenodo,17004,OpenAire
Pangaea,864,OpenAire
Global Biodiversity Information Facility,401,OpenAire
Harvard Dataverse,316,OpenAire
Dryad,229,OpenAire
Mendeley Data,139,OpenAire
UK Data Archive,78,OpenAire
University of Bath Research Data Archive,77,OpenAire
DSMZ,57,OpenAire
ResearchGate,50,OpenAire
4TU.Centre for Research Data,49,OpenAire
SEANOE,46,OpenAire
World Data Center for Climate,39,OpenAire
Environmental Information Data Centre,33,OpenAire
NSF Artic Data Center,28,OpenAire
RepOD,15,OpenAire
LINDAT/CLARIN repository,10,OpenAire
Australian Data Archive,9,OpenAire
"Survey of Health, Ageing and Retirement in Europe",7,OpenAire
Collaborative Research in Computational Neuroscience,6,OpenAire
National Center for Atmosphere Research,6,OpenAire
Coherent X-ray Imaging Data Bank,5,OpenAire
AMS Acta,5,OpenAire
Swedish National Data Service,5,OpenAire
Archaeology Data Service,5,OpenAire
Center for International Earth Science Information Network,3,OpenAire
UNAVCO,3,OpenAire
National Snow and Ice Data Center,3,OpenAire
The Cancer Imaging Archive,2,OpenAire
IPK Gatersleben,2,OpenAire
Data Repository for the University of Minnesota,2,OpenAire
DataDOI,1,OpenAire
MorphoBank,1,OpenAire
DataverseNO,1,OpenAire
World Glacier Monitoring Service,1,OpenAire
CLARIN.SI repository,1,OpenAire
